NODES: 463
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 724
ELEMENTS_T6: 0
ELEMENTS_T10: 0                 
FORCES: 1
PRESSURES: 0
DISPLACEMENTS: 4

NODE X Y
1 -0.03500000 -1.00000000
2 -0.01166667 -1.00000000
3 0.01166667 -1.00000000
4 0.03500000 -1.00000000
5 0.03500000 -0.97938144
6 0.03500000 -0.95876289
7 0.03500000 -0.93814433
8 0.03500000 -0.91752577
9 0.03500000 -0.89690722
10 0.03500000 -0.87628866
11 0.03500000 -0.85567010
12 0.03500000 -0.83505155
13 0.03500000 -0.81443299
14 0.03500000 -0.79381443
15 0.03500000 -0.77319588
16 0.03500000 -0.75257732
17 0.03500000 -0.73195876
18 0.03500000 -0.71134021
19 0.03500000 -0.69072165
20 0.03500000 -0.67010309
21 0.03500000 -0.64948454
22 0.03500000 -0.62886598
23 0.03500000 -0.60824742
24 0.03500000 -0.58762887
25 0.03500000 -0.56701031
26 0.03500000 -0.54639175
27 0.03500000 -0.52577320
28 0.03500000 -0.50515464
29 0.03500000 -0.48453608
30 0.03500000 -0.46391753
31 0.03500000 -0.44329897
32 0.03500000 -0.42268041
33 0.03500000 -0.40206186
34 0.03500000 -0.38144330
35 0.03500000 -0.36082474
36 0.03500000 -0.34020619
37 0.03500000 -0.31958763
38 0.03500000 -0.29896907
39 0.03500000 -0.27835052
40 0.03500000 -0.25773196
41 0.03500000 -0.23711340
42 0.03500000 -0.21649485
43 0.03500000 -0.19587629
44 0.03500000 -0.17525773
45 0.03500000 -0.15463918
46 0.03500000 -0.13402062
47 0.03500000 -0.11340206
48 0.03500000 -0.09278351
49 0.03500000 -0.07216495
50 0.03500000 -0.05154639
51 0.03500000 -0.03092784
52 0.03500000 -0.01030928
53 0.03500000 0.01030928
54 0.03500000 0.03092784
55 0.03500000 0.05154639
56 0.03500000 0.07216495
57 0.03500000 0.09278351
58 0.03500000 0.11340206
59 0.03500000 0.13402062
60 0.03500000 0.15463918
61 0.03500000 0.17525773
62 0.03500000 0.19587629
63 0.03500000 0.21649485
64 0.03500000 0.23711340
65 0.03500000 0.25773196
66 0.03500000 0.27835052
67 0.03500000 0.29896907
68 0.03500000 0.31958763
69 0.03500000 0.34020619
70 0.03500000 0.36082474
71 0.03500000 0.38144330
72 0.03500000 0.40206186
73 0.03500000 0.42268041
74 0.03500000 0.44329897
75 0.03500000 0.46391753
76 0.03500000 0.48453608
77 0.03500000 0.50515464
78 0.03500000 0.52577320
79 0.03500000 0.54639175
80 0.03500000 0.56701031
81 0.03500000 0.58762887
82 0.03500000 0.60824742
83 0.03500000 0.62886598
84 0.03500000 0.64948454
85 0.03500000 0.67010309
