NODES: 1927
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 0
ELEMENTS_T6: 0
ELEMENTS_T10: 366                 
FORCES: 1
PRESSURES: 0
DISPLACEMENTS: 3

NODE X Y
1 -5.00000000 -0.10000000
2 -4.89010989 -0.10000000
3 -4.78021978 -0.10000000
4 -4.67032967 -0.10000000
5 -4.56043956 -0.10000000
6 -4.45054945 -0.10000000
7 -4.34065934 -0.10000000
8 -4.23076923 -0.10000000
9 -4.12087912 -0.10000000
10 -4.01098901 -0.10000000
11 -3.90109890 -0.10000000
12 -3.79120879 -0.10000000
13 -3.68131868 -0.10000000
14 -3.57142857 -0.10000000
15 -3.46153846 -0.10000000
16 -3.35164835 -0.10000000
17 -3.24175824 -0.10000000
18 -3.13186813 -0.10000000
19 -3.02197802 -0.10000000
20 -2.91208791 -0.10000000
21 -2.80219780 -0.10000000
22 -2.69230769 -0.10000000
23 -2.58241758 -0.10000000
24 -2.47252747 -0.10000000
25 -2.36263736 -0.10000000
26 -2.25274725 -0.10000000
27 -2.14285714 -0.10000000
28 -2.03296703 -0.10000000
29 -1.92307692 -0.10000000
30 -1.81318681 -0.10000000
31 -1.70329670 -0.10000000
32 -1.59340659 -0.10000000
33 -1.48351648 -0.10000000
34 -1.37362637 -0.10000000
35 -1.26373626 -0.10000000
36 -1.15384615 -0.10000000
37 -1.04395604 -0.10000000
38 -0.93406593 -0.10000000
39 -0.82417582 -0.10000000
40 -0.71428571 -0.10000000
41 -0.60439560 -0.10000000
42 -0.49450549 -0.10000000
43 -0.38461538 -0.10000000
44 -0.27472527 -0.10000000
45 -0.16483516 -0.10000000
46 -0.05494505 -0.10000000
47 0.05494505 -0.10000000
48 0.16483516 -0.10000000
49 0.27472527 -0.10000000
50 0.38461538 -0.10000000
51 0.49450549 -0.10000000
52 0.60439560 -0.10000000
53 0.71428571 -0.10000000
54 0.82417582 -0.10000000
55 0.93406593 -0.10000000
56 1.04395604 -0.10000000
57 1.15384615 -0.10000000
58 1.26373626 -0.10000000
59 1.37362637 -0.10000000
60 1.48351648 -0.10000000
61 1.59340659 -0.10000000
62 1.70329670 -0.10000000
63 1.81318681 -0.10000000
64 1.92307692 -0.10000000
65 2.03296703 -0.10000000
66 2.14285714 -0.10000000
67 2.25274725 -0.10000000
68 2.36263736 -0.10000000
69 2.47252747 -0.10000000
70 2.58241758 -0.10000000
71 2.69230769 -0.10000000
72 2.80219780 -0.10000000
73 2.91208791 -0.10000000
74 3.02197802 -0.10000000
75 3.13186813 -0.10000000
76 3.24175824 -0.10000000
77 3.35164835 -0.10000000
78 3.46153846 -0.10000000
79 3.57142857 -0.10000000
80 3.68131868 -0.10000000
81 3.79120879 -0.10000000
82 3.90109890 -0.10000000
83 4.01098901 -0.10000000
84 4.12087912 -0.10000000
85 4.23076923 -0.10000000
86 4.34065934 -0.10000000
87 4.45054945 -0.10000000
88 4.56043956 -0.10000000
89 4.67032967 -0.10000000
90 4.78021978 -0.10000000
91 4.89010989 -0.10000000
92 5.00000000 -0.10000000
93 5.00000000 0.00000000
94 5.00000000 0.10000000
95 4.89010989 0.10000000
96 4.78021978 0.10000000
97 4.67032967 0.10000000
98 4.56043956 0.10000000
99 4.45054945 0.10000000
100 4.34065934 0.10000000
101 4.23076923 0.10000000
102 4.12087912 0.10000000
103 4.01098901 0.10000000
104 3.90109890 0.10000000
105 3.79120879 0.10000000
106 3.68131868 0.10000000
107 3.57142857 0.10000000
108 3.46153846 0.10000000
109 3.35164835 0.10000000
110 3.24175824 0.10000000
111 3.13186813 0.10000000
112 3.02197802 0.10000000
113 2.91208791 0.10000000
114 2.80219780 0.10000000
115 2.69230769 0.10000000
116 2.58241758 0.10000000
117 2.47252747 0.10000000
118 2.36263736 0.10000000
119 2.25274725 0.10000000
120 2.14285714 0.10000000
121 2.03296703 0.10000000
122 1.92307692 0.10000000
123 1.81318681 0.10000000
124 1.70329670 0.10000000
125 1.59340659 0.10000000
126 1.48351648 0.10000000
127 1.37362637 0.10000000
128 1.26373626 0.10000000
129 1.15384615 0.10000000
130 1.04395604 0.10000000
131 0.93406593 0.10000000
132 0.82417582 0.10000000
133 0.71428571 0.10000000
134 0.60439560 0.10000000
135 0.49450549 0.10000000
136 0.38461538 0.10000000
137 0.27472527 0.10000000
138 0.16483516 0.10000000
139 0.05494505 0.10000000
140 -0.05494505 0.10000000
141 -0.16483516 0.10000000
142 -0.27472527 0.10000000
143 -0.38461538 0.10000000
144 -0.49450549 0.10000000
145 -0.60439560 0.10000000
146 -0.71428571 0.10000000
147 -0.82417582 0.10000000
148 -0.93406593 0.10000000
149 -1.04395604 0.10000000
150 -1.15384615 0.10000000
151 -1.26373626 0.10000000
152 -1.37362637 0.10000000
153 -1.48351648 0.10000000
154 -1.59340659 0.10000000
155 -1.70329670 0.10000000
156 -1.81318681 0.10000000
157 -1.92307692 0.10000000
158 -2.03296703 0.10000000
159 -2.14285714 0.10000000
160 -2.25274725 0.10000000
161 -2.36263736 0.10000000
162 -2.47252747 0.10000000
163 -2.58241758 0.10000000
164 -2.69230769 0.10000000
165 -2.80219780 0.10000000
166 -2.91208791 0.10000000
167 -3.02197802 0.10000000
168 -3.13186813 0.10000000
169 -3.24175824 0.10000000
170 -3.35164835 0.10000000
171 -3.46153846 0.10000000
172 -3.57142857 0.10000000
173 -3.68131868 0.10000000
174 -3.79120879 0.10000000
175 -3.90109890 0.10000000
176 -4.01098901 0.10000000
177 -4.12087912 0.10000000
178 -4.23076923 0.10000000
179 -4.34065934 0.10000000
180 -4.45054945 0.10000000
181 -4.56043956 0.10000000
182 -4.67032967 0.10000000
183 -4.78021978 0.10000000
184 -4.89010989 0.10000000
185 -5.00000000 0.10000000
186 -5.00000000 0.00000000
187 -4.72527473 -0.00000000
188 -4.39560440 -0.00000000
189 -4.06593407 -0.00000000
190 -3.73626374 -0.00000000
191 -3.40659341 -0.00000000
192 -3.18681319 -0.00000000
193 -2.85714286 -0.00000000
194 -2.63736264 -0.00000000
195 -2.30769231 -0.00000000
196 -1.97802198 -0.00000000
197 -1.64835165 -0.00000000
198 -1.31868132 -0.00000000
199 -0.98901099 -0.00000000
200 -0.65934066 -0.00000000
201 -0.32967033 -0.00000000
202 -0.10989011 -0.00000000
203 0.10989011 -0.00000000
204 0.32967033 -0.00000000
205 0.65934066 -0.00000000
206 0.98901099 -0.00000000
207 1.31868132 -0.00000000
208 1.64835165 -0.00000000
209 1.97802198 -0.00000000
210 2.30769231 0.00000000
211 2.63736264 -0.00000000
212 2.85714286 -0.00000000
213 3.18681319 -0.00000000
214 3.51648352 -0.00000000
215 3.84615385 0.00000000
216 4.17582418 -0.00000000
217 4.50549451 0.00000000
218 4.83516484 0.00000000
219 -4.61538462 -0.00471561
220 -4.83516484 0.00471561
221 -4.28571429 -0.00471561
222 -4.50549451 0.00471561
223 -3.95604396 -0.00471561
224 -4.17582418 0.00471561
225 -3.62637363 -0.00471561
226 -3.84615385 0.00471561
227 -3.29670330 0.00471561
228 -3.51648352 0.00471561
229 -3.07692308 -0.00471561
