NODES: 283
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 472
ELEMENTS_T6: 0
ELEMENTS_T10: 0                 
FORCES: 1
PRESSURES: 0
DISPLACEMENTS: 2

NODE X Y
1 -5.00000000 -0.50000000
2 -4.76190476 -0.50000000
3 -4.52380952 -0.50000000
4 -4.28571429 -0.50000000
5 -4.04761905 -0.50000000
6 -3.80952381 -0.50000000
7 -3.57142857 -0.50000000
8 -3.33333333 -0.50000000
9 -3.09523810 -0.50000000
10 -2.85714286 -0.50000000
11 -2.61904762 -0.50000000
12 -2.38095238 -0.50000000
13 -2.14285714 -0.50000000
14 -1.90476190 -0.50000000
15 -1.66666667 -0.50000000
16 -1.42857143 -0.50000000
17 -1.19047619 -0.50000000
18 -0.95238095 -0.50000000
19 -0.71428571 -0.50000000
20 -0.47619048 -0.50000000
21 -0.23809524 -0.50000000
22 0.00000000 -0.50000000
23 0.23809524 -0.50000000
24 0.47619048 -0.50000000
25 0.71428571 -0.50000000
26 0.95238095 -0.50000000
27 1.19047619 -0.50000000
28 1.42857143 -0.50000000
29 1.66666667 -0.50000000
30 1.90476190 -0.50000000
31 2.14285714 -0.50000000
32 2.38095238 -0.50000000
33 2.61904762 -0.50000000
34 2.85714286 -0.50000000
35 3.09523810 -0.50000000
36 3.33333333 -0.50000000
37 3.57142857 -0.50000000
38 3.80952381 -0.50000000
39 4.04761905 -0.50000000
40 4.28571429 -0.50000000
41 4.52380952 -0.50000000
42 4.76190476 -0.50000000
43 5.00000000 -0.50000000
44 5.00000000 -0.25000000
45 5.00000000 0.00000000
46 5.00000000 0.25000000
47 5.00000000 0.50000000
48 4.76190476 0.50000000
49 4.52380952 0.50000000
50 4.28571429 0.50000000
51 4.04761905 0.50000000
52 3.80952381 0.50000000
53 3.57142857 0.50000000
54 3.33333333 0.50000000
55 3.09523810 0.50000000
56 2.85714286 0.50000000
57 2.61904762 0.50000000
58 2.38095238 0.50000000
59 2.14285714 0.50000000
60 1.90476190 0.50000000
61 1.66666667 0.50000000
62 1.42857143 0.50000000
63 1.19047619 0.50000000
64 0.95238095 0.50000000
65 0.71428571 0.50000000
66 0.47619048 0.50000000
67 0.23809524 0.50000000
68 0.00000000 0.50000000
69 -0.23809524 0.50000000
70 -0.47619048 0.50000000
71 -0.71428571 0.50000000
72 -0.95238095 0.50000000
73 -1.19047619 0.50000000
74 -1.42857143 0.50000000
75 -1.66666667 0.50000000
76 -1.90476190 0.50000000
77 -2.14285714 0.50000000
78 -2.38095238 0.50000000
79 -2.61904762 0.50000000
80 -2.85714286 0.50000000
81 -3.09523810 0.50000000
82 -3.33333333 0.50000000
83 -3.57142857 0.50000000
84 -3.80952381 0.50000000
85 -4.04761905 0.50000000
86 -4.28571429 0.50000000
87 -4.52380952 0.50000000
88 -4.76190476 0.50000000
89 -5.00000000 0.50000000
90 -5.00000000 0.25000000
91 -5.00000000 0.00000000
92 -5.00000000 -0.25000000
93 -4.40476190 -0.07792283
94 -3.69047619 -0.07792283
95 -2.97619048 -0.07792283
96 -2.02380952 -0.07792283
97 -1.30952381 -0.07792283
98 -0.59523810 -0.07792283
99 0.35714286 -0.07792283
100 1.07142857 -0.07792283
101 1.78571429 -0.07792283
102 2.50000000 -0.07792283
103 3.21428571 -0.07792283
104 3.92857143 -0.07792283
105 4.64285714 -0.14824263
106 -4.64285714 0.17425426
107 -4.64285714 -0.23859502
108 -4.40476190 -0.30575021
109 -4.16666667 0.17425426
110 -3.69047619 -0.30575021
111 -3.45238095 0.17425426
112 -2.73809524 -0.23859502
113 -2.73809524 0.17425426
114 -3.21428571 -0.23859502
115 -2.97619048 -0.30575021
116 -2.26190476 0.17425426
117 -2.26190476 -0.23859502
118 -2.02380952 -0.30575021
119 -1.78571429 0.17425426
120 -1.54761905 -0.23859502
121 -1.30952381 -0.30575021
122 -1.07142857 0.17425426
123 -0.83333333 -0.23859502
124 -0.59523810 -0.30575021
125 -0.35714286 0.17425426
126 0.11904762 0.17425426
127 0.11904762 -0.23859502
128 0.35714286 -0.30575021
129 0.59523810 0.17425426
130 1.30952381 -0.23859502
131 1.30952381 0.17425426
132 0.83333333 -0.23859502
133 1.07142857 -0.30575021
134 1.78571429 -0.30575021
135 2.02380952 0.17425426
136 2.26190476 -0.23859502
137 2.50000000 -0.30575021
138 2.73809524 0.17425426
139 2.97619048 -0.23859502
140 3.21428571 -0.30575021
141 3.45238095 0.17425426
142 4.16666667 -0.23859502
143 4.16666667 0.17425426
144 3.69047619 -0.23859502
145 3.92857143 -0.30575021
146 4.64285714 -0.34426636
147 4.82889522 -0.32542175
148 4.41478695 -0.24625449
149 4.84272583 -0.12500000
150 4.77233972 0.12500000
151 -4.40476190 0.27186610
152 -4.64285714 0.35888081
153 -4.82738723 0.32398558
154 -4.84426000 0.12500000
155 -4.80089042 -0.08855482
156 -4.16666667 -0.29343610
157 -4.16666667 0.35888081
158 -3.92373867 0.26656753
159 -3.45238095 -0.29343610
160 -3.45238095 0.35888081
161 -3.68270026 0.28535796
162 -3.20945296 0.26656753
163 -2.50000000 -0.28797349
164 -2.73809524 0.35888081
165 -2.96841455 0.28535796
166 -2.50000000 0.26656753
167 -2.02380952 0.27186610
168 -2.26190476 0.35888081
169 -1.78571429 -0.29343610
170 -1.78571429 0.35888081
171 -1.54278629 0.26656753
172 -1.07142857 -0.29343610
173 -1.07142857 0.35888081
174 -1.30174788 0.28535796
175 -0.82850058 0.26656753
176 -0.35714286 -0.29343610
177 -0.35714286 0.35888081
178 -0.58746217 0.28535796
179 -0.11904762 0.26656753
180 0.35714286 0.27186610
181 0.11904762 0.35888081
182 0.59523810 -0.29343610
183 0.59523810 0.35888081
184 0.83816609 0.26656753
185 1.30952381 0.35888081
186 1.07920450 0.28535796
187 1.55245180 0.26656753
188 2.02380952 -0.29343610
189 1.55894852 -0.19183652
190 2.02380952 0.35888081
191 1.79349021 0.28535796
192 2.26673752 0.26656753
193 2.73809524 -0.29343610
194 2.73809524 0.35888081
195 2.50777593 0.28535796
196 2.98102323 0.26656753
197 3.45238095 -0.29343610
198 3.45238095 0.35888081
199 3.22206164 0.28535796
200 3.69530895 0.26656753
201 4.16666667 0.35888081
202 3.93634735 0.28535796
203 4.40959466 0.26656753
204 4.29721736 -0.03217038
205 4.28767463 -0.34129674
206 4.64285714 0.30904213
207 -3.92857143 -0.29380315
208 -3.38087964 -0.05959092
209 -3.78996439 0.10593031
210 -3.90828378 -0.07694023
211 -3.60992352 0.08451106
212 -2.42888299 -0.03217038
213 -3.07567868 0.10593031
214 -3.26253821 0.08633920
215 -2.89563780 0.08451106
216 -2.79521002 -0.06648254
217 -2.60733118 -0.09966865
218 -1.71421298 -0.05959092
219 -0.99992726 -0.05959092
220 -1.40901201 0.10593031
221 -1.59587154 0.08633920
222 -1.22897113 0.08451106
223 -0.11904762 -0.29380315
224 -0.69472630 0.10593031
225 -0.88158583 0.08633920
226 -0.51468542 0.08451106
227 -0.38253723 -0.08221302
228 0.66673940 -0.05959092
229 0.97194037 0.10593031
230 0.78508084 0.08633920
231 1.15198125 0.08451106
232 1.25240903 -0.06648254
233 2.09531083 -0.05959092
234 1.54761905 -0.36870483
235 1.68622609 0.10593031
236 1.86626696 0.08451106
237 2.80959655 -0.05959092
238 2.40051180 0.10593031
239 2.21365227 0.08633920
240 2.58055267 0.08451106
241 3.52388226 -0.05959092
242 3.11479751 0.10593031
243 2.92793798 0.08633920
244 3.29483839 0.08451106
245 3.82908323 0.10593031
246 3.64222370 0.08633920
247 4.00912410 0.08451106
248 4.10955189 -0.06648254
249 4.82903950 0.32555916
250 -3.53137485 -0.14142882
251 -1.87422745 0.01933634
252 -1.15042247 -0.14142882
253 -0.05426520 -0.03217038
254 0.50672493 0.01933634
255 1.46288263 0.01072626
256 1.94481563 -0.14142882
257 2.65910134 -0.14142882
258 3.37338706 -0.14142882
259 -4.81913480 -0.31612611
260 -4.47211704 0.09697164
261 -4.62566170 -0.01500487
262 -2.09116466 0.09697164
263 -2.21511562 -0.05118129
264 0.28978772 0.09697164
265 0.13586701 -0.01583569
266 -3.99610602 0.09121007
267 -4.17394247 -0.05736463
268 -4.30090538 0.06254735
269 -4.04881368 -0.17165598
270 -2.41654900 0.12859978
271 -2.58133728 0.12314805
272 -3.15865456 -0.06428400
273 -1.49198789 -0.06428400
274 -0.77770218 -0.06428400
275 0.88896449 -0.06428400
276 2.31753592 -0.06428400
277 3.03182163 -0.06428400
278 3.74610735 -0.06428400
279 -0.03573576 0.12824091
280 -0.20044128 0.12329346
281 -0.20680882 -0.13323604
282 4.54085997 0.06739170
283 4.45982374 -0.08219624

MAT. YOUNG M. POISSON C. DENSITY
1 1000.00 0.20 0.00

THICK. VALUE
1 1.00

ELEM.T3 NODES MAT. THICK.
1 2 259 1 1 1
2 196 55 56 1 1
3 107 2 3 1 1
4 136 137 102 1 1
5 193 33 34 1 1
6 88 152 87 1 1
7 193 257 137 1 1
8 107 3 108 1 1
9 210 269 207 1 1
10 6 110 207 1 1
11 136 102 276 1 1
12 7 110 6 1 1
13 9 115 114 1 1
14 188 256 134 1 1
15 189 134 101 1 1
16 9 114 8 1 1
17 192 58 59 1 1
18 10 11 112 1 1
19 236 256 233 1 1
20 3 4 108 1 1
21 12 13 117 1 1
22 132 133 100 1 1
23 130 133 27 1 1
24 112 95 115 1 1
25 168 77 78 1 1
26 132 100 275 1 1
27 255 232 130 1 1
28 16 121 120 1 1
29 254 182 228 1 1
30 118 117 13 1 1
31 170 171 75 1 1
32 62 187 61 1 1
33 234 134 189 1 1
34 123 19 124 1 1
35 173 175 72 1 1
36 128 182 99 1 1
37 127 128 99 1 1
38 23 127 22 1 1
39 184 64 65 1 1
40 19 123 18 1 1
41 232 231 100 1 1
42 16 120 15 1 1
43 188 30 31 1 1
44 21 223 176 1 1
45 159 110 7 1 1
46 259 155 92 1 1
