NODES: 4538
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 8768
ELEMENTS_T6: 0
ELEMENTS_T10: 0                 
FORCES: 60
PRESSURES: 0
DISPLACEMENTS: 60

NODE X Y
1 -0.50000000 -0.50000000
2 -0.48305085 -0.50000000
3 -0.46610169 -0.50000000
4 -0.44915254 -0.50000000
5 -0.43220339 -0.50000000
6 -0.41525424 -0.50000000
7 -0.39830508 -0.50000000
8 -0.38135593 -0.50000000
9 -0.36440678 -0.50000000
10 -0.34745763 -0.50000000
11 -0.33050847 -0.50000000
12 -0.31355932 -0.50000000
13 -0.29661017 -0.50000000
14 -0.27966102 -0.50000000
15 -0.26271186 -0.50000000
16 -0.24576271 -0.50000000
17 -0.22881356 -0.50000000
18 -0.21186441 -0.50000000
19 -0.19491525 -0.50000000
20 -0.17796610 -0.50000000
21 -0.16101695 -0.50000000
22 -0.14406780 -0.50000000
23 -0.12711864 -0.50000000
24 -0.11016949 -0.50000000
25 -0.09322034 -0.50000000
26 -0.07627119 -0.50000000
27 -0.05932203 -0.50000000
28 -0.04237288 -0.50000000
29 -0.02542373 -0.50000000
30 -0.00847458 -0.50000000
31 0.00847458 -0.50000000
32 0.02542373 -0.50000000
33 0.04237288 -0.50000000
34 0.05932203 -0.50000000
35 0.07627119 -0.50000000
36 0.09322034 -0.50000000
37 0.11016949 -0.50000000
38 0.12711864 -0.50000000
39 0.14406780 -0.50000000
40 0.16101695 -0.50000000
41 0.17796610 -0.50000000
42 0.19491525 -0.50000000
43 0.21186441 -0.50000000
44 0.22881356 -0.50000000
45 0.24576271 -0.50000000
46 0.26271186 -0.50000000
47 0.27966102 -0.50000000
48 0.29661017 -0.50000000
49 0.31355932 -0.50000000
50 0.33050847 -0.50000000
51 0.34745763 -0.50000000
52 0.36440678 -0.50000000
53 0.38135593 -0.50000000
54 0.39830508 -0.50000000
55 0.41525424 -0.50000000
56 0.43220339 -0.50000000
57 0.44915254 -0.50000000
58 0.46610169 -0.50000000
59 0.48305085 -0.50000000
60 0.50000000 -0.50000000
61 0.50000000 -0.48305085
62 0.50000000 -0.46610169
63 0.50000000 -0.44915254
64 0.50000000 -0.43220339
65 0.50000000 -0.41525424
66 0.50000000 -0.39830508
67 0.50000000 -0.38135593
68 0.50000000 -0.36440678
69 0.50000000 -0.34745763
70 0.50000000 -0.33050847
71 0.50000000 -0.31355932
72 0.50000000 -0.29661017
73 0.50000000 -0.27966102
74 0.50000000 -0.26271186
75 0.50000000 -0.24576271
76 0.50000000 -0.22881356
77 0.50000000 -0.21186441
78 0.50000000 -0.19491525
79 0.50000000 -0.17796610
