NODES: 4942
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 9256
ELEMENTS_T6: 0
ELEMENTS_T10: 0                 
FORCES: 1
PRESSURES: 0
DISPLACEMENTS: 74

NODE X Y
1 -2.00000000 -6.00000000
2 -1.88888889 -6.00000000
3 -1.77777778 -6.00000000
4 -1.66666667 -6.00000000
5 -1.55555556 -6.00000000
6 -1.44444444 -6.00000000
7 -1.33333333 -6.00000000
8 -1.22222222 -6.00000000
9 -1.11111111 -6.00000000
10 -1.00000000 -6.00000000
11 -0.88888889 -6.00000000
12 -0.77777778 -6.00000000
13 -0.66666667 -6.00000000
14 -0.55555556 -6.00000000
15 -0.44444444 -6.00000000
16 -0.33333333 -6.00000000
17 -0.22222222 -6.00000000
18 -0.11111111 -6.00000000
19 0.00000000 -6.00000000
20 0.11111111 -6.00000000
21 0.22222222 -6.00000000
22 0.33333333 -6.00000000
23 0.44444444 -6.00000000
24 0.55555556 -6.00000000
25 0.66666667 -6.00000000
26 0.77777778 -6.00000000
27 0.88888889 -6.00000000
28 1.00000000 -6.00000000
29 1.11111111 -6.00000000
30 1.22222222 -6.00000000
31 1.33333333 -6.00000000
32 1.44444444 -6.00000000
33 1.55555556 -6.00000000
34 1.66666667 -6.00000000
35 1.77777778 -6.00000000
36 1.88888889 -6.00000000
37 2.00000000 -6.00000000
38 2.00000000 -5.88785047
39 2.00000000 -5.77570093
40 2.00000000 -5.66355140
41 2.00000000 -5.55140187
42 2.00000000 -5.43925234
43 2.00000000 -5.32710280
44 2.00000000 -5.21495327
45 2.00000000 -5.10280374
46 2.00000000 -4.99065421
47 2.00000000 -4.87850467
48 2.00000000 -4.76635514
49 2.00000000 -4.65420561
50 2.00000000 -4.54205607
51 2.00000000 -4.42990654
52 2.00000000 -4.31775701
53 2.00000000 -4.20560748
54 2.00000000 -4.09345794
55 2.00000000 -3.98130841
56 2.00000000 -3.86915888
57 2.00000000 -3.75700935
58 2.00000000 -3.64485981
59 2.00000000 -3.53271028
60 2.00000000 -3.42056075
61 2.00000000 -3.30841121
62 2.00000000 -3.19626168
63 2.00000000 -3.08411215
64 2.00000000 -2.97196262
65 2.00000000 -2.85981308
66 2.00000000 -2.74766355
67 2.00000000 -2.63551402
68 2.00000000 -2.52336449
69 2.00000000 -2.41121495
70 2.00000000 -2.29906542
71 2.00000000 -2.18691589
72 2.00000000 -2.07476636
73 2.00000000 -1.96261682
74 2.00000000 -1.85046729
75 2.00000000 -1.73831776
76 2.00000000 -1.62616822
77 2.00000000 -1.51401869
78 2.00000000 -1.40186916
79 2.00000000 -1.28971963
80 2.00000000 -1.17757009
81 2.00000000 -1.06542056
82 2.00000000 -0.95327103
83 2.00000000 -0.84112150
84 2.00000000 -0.72897196
85 2.00000000 -0.61682243
86 2.00000000 -0.50467290
87 2.00000000 -0.39252336
88 2.00000000 -0.28037383
89 2.00000000 -0.16822430
90 2.00000000 -0.05607477
91 2.00000000 0.05607477
92 2.00000000 0.16822430
93 2.00000000 0.28037383
94 2.00000000 0.39252336
95 2.00000000 0.50467290
96 2.00000000 0.61682243
97 2.00000000 0.72897196
98 2.00000000 0.84112150
99 2.00000000 0.95327103
100 2.00000000 1.06542056
101 2.00000000 1.17757009
102 2.00000000 1.28971963
103 2.00000000 1.40186916
104 2.00000000 1.51401869
105 2.00000000 1.62616822
106 2.00000000 1.73831776
107 2.00000000 1.85046729
108 2.00000000 1.96261682
109 2.00000000 2.07476636
110 2.00000000 2.18691589
111 2.00000000 2.29906542
112 2.00000000 2.41121495
113 2.00000000 2.52336449
114 2.00000000 2.63551402
115 2.00000000 2.74766355
116 2.00000000 2.85981308
117 2.00000000 2.97196262
118 2.00000000 3.08411215
119 2.00000000 3.19626168
120 2.00000000 3.30841121
121 2.00000000 3.42056075
122 2.00000000 3.53271028
123 2.00000000 3.64485981
124 2.00000000 3.75700935
125 2.00000000 3.86915888
126 2.00000000 3.98130841
127 2.00000000 4.09345794
128 2.00000000 4.20560748
129 2.00000000 4.31775701
130 2.00000000 4.42990654
131 2.00000000 4.54205607
132 2.00000000 4.65420561
133 2.00000000 4.76635514
134 2.00000000 4.87850467
135 2.00000000 4.99065421
136 2.00000000 5.10280374
137 2.00000000 5.21495327
138 2.00000000 5.32710280
139 2.00000000 5.43925234
140 2.00000000 5.55140187
141 2.00000000 5.66355140
142 2.00000000 5.77570093
143 2.00000000 5.88785047
144 2.00000000 6.00000000
145 1.88888889 6.00000000
146 1.77777778 6.00000000
147 1.66666667 6.00000000
148 1.55555556 6.00000000
149 1.44444444 6.00000000
150 1.33333333 6.00000000
151 1.22222222 6.00000000
152 1.11111111 6.00000000
153 1.00000000 6.00000000
154 0.88888889 6.00000000
155 0.77777778 6.00000000
156 0.66666667 6.00000000
157 0.55555556 6.00000000
158 0.44444444 6.00000000
159 0.33333333 6.00000000
160 0.22222222 6.00000000
161 0.11111111 6.00000000
162 0.00000000 6.00000000
163 -0.11111111 6.00000000
164 -0.22222222 6.00000000
165 -0.33333333 6.00000000
166 -0.44444444 6.00000000
167 -0.55555556 6.00000000
168 -0.66666667 6.00000000
169 -0.77777778 6.00000000
170 -0.88888889 6.00000000
171 -1.00000000 6.00000000
172 -1.11111111 6.00000000
173 -1.22222222 6.00000000
174 -1.33333333 6.00000000
175 -1.44444444 6.00000000
176 -1.55555556 6.00000000
177 -1.66666667 6.00000000
178 -1.77777778 6.00000000
179 -1.88888889 6.00000000
180 -2.00000000 6.00000000
181 -2.00000000 5.88785047
182 -2.00000000 5.77570093
183 -2.00000000 5.66355140
184 -2.00000000 5.55140187
185 -2.00000000 5.43925234
186 -2.00000000 5.32710280
187 -2.00000000 5.21495327
188 -2.00000000 5.10280374
189 -2.00000000 4.99065421
190 -2.00000000 4.87850467
191 -2.00000000 4.76635514
192 -2.00000000 4.65420561
193 -2.00000000 4.54205607
194 -2.00000000 4.42990654
195 -2.00000000 4.31775701
196 -2.00000000 4.20560748
197 -2.00000000 4.09345794
198 -2.00000000 3.98130841
199 -2.00000000 3.86915888
200 -2.00000000 3.75700935
201 -2.00000000 3.64485981
202 -2.00000000 3.53271028
203 -2.00000000 3.42056075
204 -2.00000000 3.30841121
205 -2.00000000 3.19626168
206 -2.00000000 3.08411215
207 -2.00000000 2.97196262
208 -2.00000000 2.85981308
209 -2.00000000 2.74766355
210 -2.00000000 2.63551402
211 -2.00000000 2.52336449
212 -2.00000000 2.41121495
213 -2.00000000 2.29906542
214 -2.00000000 2.18691589
215 -2.00000000 2.07476636
216 -2.00000000 1.96261682
217 -2.00000000 1.85046729
218 -2.00000000 1.73831776
219 -2.00000000 1.62616822
220 -2.00000000 1.51401869
221 -2.00000000 1.40186916
222 -2.00000000 1.28971963
223 -2.00000000 1.17757009
224 -2.00000000 1.06542056
225 -2.00000000 0.95327103
226 -2.00000000 0.84112150
227 -2.00000000 0.72897196
228 -2.00000000 0.61682243
229 -2.00000000 0.50467290
230 -2.00000000 0.39252336
231 -2.00000000 0.28037383
232 -2.00000000 0.16822430
233 -2.00000000 0.05607477
234 -2.00000000 -0.05607477
235 -2.00000000 -0.16822430
236 -2.00000000 -0.28037383
237 -2.00000000 -0.39252336
238 -2.00000000 -0.50467290
239 -2.00000000 -0.61682243
240 -2.00000000 -0.72897196
241 -2.00000000 -0.84112150
242 -2.00000000 -0.95327103
243 -2.00000000 -1.06542056
244 -2.00000000 -1.17757009
245 -2.00000000 -1.28971963
246 -2.00000000 -1.40186916
247 -2.00000000 -1.51401869
248 -2.00000000 -1.62616822
249 -2.00000000 -1.73831776
250 -2.00000000 -1.85046729
251 -2.00000000 -1.96261682
252 -2.00000000 -2.07476636
253 -2.00000000 -2.18691589
254 -2.00000000 -2.29906542
255 -2.00000000 -2.41121495
256 -2.00000000 -2.52336449
257 -2.00000000 -2.63551402
258 -2.00000000 -2.74766355
259 -2.00000000 -2.85981308
260 -2.00000000 -2.97196262
261 -2.00000000 -3.08411215
262 -2.00000000 -3.19626168
263 -2.00000000 -3.30841121
264 -2.00000000 -3.42056075
265 -2.00000000 -3.53271028
266 -2.00000000 -3.64485981
267 -2.00000000 -3.75700935
268 -2.00000000 -3.86915888
269 -2.00000000 -3.98130841
270 -2.00000000 -4.09345794
271 -2.00000000 -4.20560748
272 -2.00000000 -4.31775701
273 -2.00000000 -4.42990654
274 -2.00000000 -4.54205607
275 -2.00000000 -4.65420561
276 -2.00000000 -4.76635514
277 -2.00000000 -4.87850467
278 -2.00000000 -4.99065421
279 -2.00000000 -5.10280374
280 -2.00000000 -5.21495327
281 -2.00000000 -5.32710280
282 -2.00000000 -5.43925234
283 -2.00000000 -5.55140187
284 -2.00000000 -5.66355140
285 -2.00000000 -5.77570093
286 -2.00000000 -5.88785047
287 -1.50000000 3.50000000
288 -1.38888889 3.50000000
289 -1.27777778 3.50000000
290 -1.16666667 3.50000000
291 -1.05555556 3.50000000
292 -0.94444444 3.50000000
293 -0.83333333 3.50000000
294 -0.72222222 3.50000000
295 -0.61111111 3.50000000
296 -0.50000000 3.50000000
297 -0.50000000 3.61111111
298 -0.50000000 3.72222222
299 -0.50000000 3.83333333
300 -0.50000000 3.94444444
301 -0.50000000 4.05555556
302 -0.50000000 4.16666667
303 -0.50000000 4.27777778
304 -0.50000000 4.38888889
305 -0.50000000 4.50000000
306 -0.61111111 4.50000000
307 -0.72222222 4.50000000
308 -0.83333333 4.50000000
309 -0.94444444 4.50000000
310 -1.05555556 4.50000000
311 -1.16666667 4.50000000
312 -1.27777778 4.50000000
313 -1.38888889 4.50000000
314 -1.50000000 4.50000000
315 -1.50000000 4.38888889
316 -1.50000000 4.27777778
317 -1.50000000 4.16666667
318 -1.50000000 4.05555556
319 -1.50000000 3.94444444
320 -1.50000000 3.83333333
321 -1.50000000 3.72222222
