NODES: 4803
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 9384
ELEMENTS_T6: 0
ELEMENTS_T10: 0                 
FORCES: 1
PRESSURES: 0
DISPLACEMENTS: 69

NODE	X	Y
1	-5.00000000	-5.00000000
2	-4.81818182	-5.00000000
3	-4.63636364	-5.00000000
4	-4.45454545	-5.00000000
5	-4.27272727	-5.00000000
6	-4.09090909	-5.00000000
7	-3.90909091	-5.00000000
8	-3.72727273	-5.00000000
9	-3.54545455	-5.00000000
10	-3.36363636	-5.00000000
11	-3.18181818	-5.00000000
12	-3.00000000	-5.00000000
13	-2.81818182	-5.00000000
14	-2.63636364	-5.00000000
15	-2.45454545	-5.00000000
16	-2.27272727	-5.00000000
17	-2.09090909	-5.00000000
18	-1.90909091	-5.00000000
19	-1.72727273	-5.00000000
20	-1.54545455	-5.00000000
21	-1.36363636	-5.00000000
22	-1.18181818	-5.00000000
23	-1.00000000	-5.00000000
24	-0.81818182	-5.00000000
25	-0.63636364	-5.00000000
26	-0.45454545	-5.00000000
27	-0.27272727	-5.00000000
28	-0.09090909	-5.00000000
29	0.09090909	-5.00000000
30	0.27272727	-5.00000000
31	0.45454545	-5.00000000
32	0.63636364	-5.00000000
33	0.81818182	-5.00000000
34	1.00000000	-5.00000000
35	1.18181818	-5.00000000
36	1.36363636	-5.00000000
37	1.54545455	-5.00000000
38	1.72727273	-5.00000000
39	1.90909091	-5.00000000
40	2.09090909	-5.00000000
41	2.27272727	-5.00000000
42	2.45454545	-5.00000000
43	2.63636364	-5.00000000
44	2.81818182	-5.00000000
45	3.00000000	-5.00000000
46	3.18181818	-5.00000000
47	3.36363636	-5.00000000
48	3.54545455	-5.00000000
49	3.72727273	-5.00000000
50	3.90909091	-5.00000000
51	4.09090909	-5.00000000
52	4.27272727	-5.00000000
53	4.45454545	-5.00000000
54	4.63636364	-5.00000000
55	4.81818182	-5.00000000
56	5.00000000	-5.00000000
57	5.00000000	-4.81818182
58	5.00000000	-4.63636364
59	5.00000000	-4.45454545
60	5.00000000	-4.27272727
61	5.00000000	-4.09090909
62	5.00000000	-3.90909091
63	5.00000000	-3.72727273
64	5.00000000	-3.54545455
65	5.00000000	-3.36363636
66	5.00000000	-3.18181818
67	5.00000000	-3.00000000
68	5.00000000	-2.81818182
69	5.00000000	-2.63636364
70	5.00000000	-2.45454545
71	5.00000000	-2.27272727
72	5.00000000	-2.09090909
73	5.00000000	-1.90909091
74	5.00000000	-1.72727273
75	5.00000000	-1.54545455
76	5.00000000	-1.36363636
77	5.00000000	-1.18181818
78	5.00000000	-1.00000000
79	5.00000000	-0.81818182
80	5.00000000	-0.63636364
81	5.00000000	-0.45454545
82	5.00000000	-0.27272727
83	5.00000000	-0.09090909
84	5.00000000	0.09090909
85	5.00000000	0.27272727
86	5.00000000	0.45454545
87	5.00000000	0.63636364
88	5.00000000	0.81818182
89	5.00000000	1.00000000
90	5.00000000	1.18181818
91	5.00000000	1.36363636
92	5.00000000	1.54545455
93	5.00000000	1.72727273
94	5.00000000	1.90909091
95	5.00000000	2.09090909
96	5.00000000	2.27272727
97	5.00000000	2.45454545
98	5.00000000	2.63636364
99	5.00000000	2.81818182
100	5.00000000	3.00000000
101	5.00000000	3.18181818
102	5.00000000	3.36363636
103	5.00000000	3.54545455
104	5.00000000	3.72727273
105	5.00000000	3.90909091
106	5.00000000	4.09090909
107	5.00000000	4.27272727
108	5.00000000	4.45454545
109	5.00000000	4.63636364
110	5.00000000	4.81818182
111	5.00000000	5.00000000
112	4.81818182	5.00000000
113	4.63636364	5.00000000
114	4.45454545	5.00000000
115	4.27272727	5.00000000
116	4.09090909	5.00000000
117	3.90909091	5.00000000
118	3.72727273	5.00000000
119	3.54545455	5.00000000
120	3.36363636	5.00000000
121	3.18181818	5.00000000
122	3.00000000	5.00000000
123	2.81818182	5.00000000
124	2.63636364	5.00000000
125	2.45454545	5.00000000
126	2.27272727	5.00000000
127	2.09090909	5.00000000
128	1.90909091	5.00000000
129	1.72727273	5.00000000
130	1.54545455	5.00000000
131	1.36363636	5.00000000
132	1.18181818	5.00000000
133	1.00000000	5.00000000
134	0.81818182	5.00000000
135	0.63636364	5.00000000
136	0.45454545	5.00000000
137	0.27272727	5.00000000
138	0.09090909	5.00000000
139	-0.09090909	5.00000000
140	-0.27272727	5.00000000
141	-0.45454545	5.00000000
142	-0.63636364	5.00000000
143	-0.81818182	5.00000000
144	-1.00000000	5.00000000
145	-1.18181818	5.00000000
146	-1.36363636	5.00000000
147	-1.54545455	5.00000000
148	-1.72727273	5.00000000
149	-1.90909091	5.00000000
150	-2.09090909	5.00000000
151	-2.27272727	5.00000000
152	-2.45454545	5.00000000
153	-2.63636364	5.00000000
154	-2.81818182	5.00000000
155	-3.00000000	5.00000000
156	-3.18181818	5.00000000
157	-3.36363636	5.00000000
158	-3.54545455	5.00000000
159	-3.72727273	5.00000000
160	-3.90909091	5.00000000
161	-4.09090909	5.00000000
162	-4.27272727	5.00000000
163	-4.45454545	5.00000000
164	-4.63636364	5.00000000
165	-4.81818182	5.00000000
166	-5.00000000	5.00000000
167	-5.00000000	4.81818182
168	-5.00000000	4.63636364
169	-5.00000000	4.45454545
170	-5.00000000	4.27272727
171	-5.00000000	4.09090909
172	-5.00000000	3.90909091
173	-5.00000000	3.72727273
174	-5.00000000	3.54545455
175	-5.00000000	3.36363636
176	-5.00000000	3.18181818
177	-5.00000000	3.00000000
178	-5.00000000	2.81818182
179	-5.00000000	2.63636364
180	-5.00000000	2.45454545
181	-5.00000000	2.27272727
182	-5.00000000	2.09090909
183	-5.00000000	1.90909091
184	-5.00000000	1.72727273
185	-5.00000000	1.54545455
186	-5.00000000	1.36363636
187	-5.00000000	1.18181818
188	-5.00000000	1.00000000
189	-5.00000000	0.81818182
190	-5.00000000	0.63636364
191	-5.00000000	0.45454545
192	-5.00000000	0.27272727
193	-5.00000000	0.09090909
194	-5.00000000	-0.09090909
195	-5.00000000	-0.27272727
196	-5.00000000	-0.45454545
197	-5.00000000	-0.63636364
198	-5.00000000	-0.81818182
199	-5.00000000	-1.00000000
200	-5.00000000	-1.18181818
201	-5.00000000	-1.36363636
202	-5.00000000	-1.54545455
203	-5.00000000	-1.72727273
204	-5.00000000	-1.90909091
205	-5.00000000	-2.09090909
206	-5.00000000	-2.27272727
207	-5.00000000	-2.45454545
208	-5.00000000	-2.63636364
209	-5.00000000	-2.81818182
210	-5.00000000	-3.00000000
211	-5.00000000	-3.18181818
212	-5.00000000	-3.36363636
213	-5.00000000	-3.54545455
214	-5.00000000	-3.72727273
215	-5.00000000	-3.90909091
216	-5.00000000	-4.09090909
217	-5.00000000	-4.27272727
218	-5.00000000	-4.45454545
219	-5.00000000	-4.63636364
220	-5.00000000	-4.81818182
221	-4.72727273	-4.72727273
222	-4.67768652	-3.81818182
223	-4.67768652	-2.54545455
224	-4.67768652	-0.72727273
225	-4.67768652	0.90909091
226	-4.67768652	2.54545455
227	-4.67768652	3.81818182
228	-4.72727273	4.72727273
229	0.18181818	-4.67768652
230	1.81818182	-4.67768652
231	3.09090909	-4.67768652
232	4.00000000	-4.67768652
233	4.72727273	-4.72727273
234	0.18181818	4.67768652
235	1.81818182	4.67768652
236	3.09090909	4.67768652
237	4.00000000	4.67768652
238	4.72727273	4.72727273
239	-4.81818182	-4.54545455
240	-4.87878788	-4.72727273
241	-4.86796537	-4.86796537
242	-4.72727273	-4.89032006
243	-4.54545455	-4.83213394
244	-4.80038165	-3.63636364
245	-4.85166380	-3.81818182
246	-4.84226030	-4.00000000
247	-4.00000000	-4.67768652
248	-4.80038165	-2.36363636
249	-4.85166380	-2.54545455
250	-4.84226030	-2.72727273
251	-2.90909091	-4.67768652
252	-1.45454545	-4.67768652
253	-4.80038165	-0.54545455
254	-4.85166380	-0.72727273
255	-4.84226030	-0.90909091
256	-4.67768652	-1.45454545
257	-1.45454545	4.67768652
258	-4.67768652	1.63636364
259	-4.67768652	1.27272727
260	-4.85166380	0.90909091
261	-4.84226030	0.72727273
262	-4.76467516	1.09090909
263	-4.87761289	1.03322433
264	-4.87232739	1.16227574
265	-4.67768652	0.18181818
266	-2.72727273	4.67768652
267	-4.67768652	3.09090909
268	-4.80038165	2.72727273
269	-4.85166380	2.54545455
270	-4.84226030	2.36363636
271	-3.63636364	4.67768652
272	-4.67768652	4.18181818
273	-4.80038165	4.00000000
274	-4.85166380	3.81818182
275	-4.84226030	3.63636364
276	-4.54545455	4.81818182
277	-4.72727273	4.87878788
278	-4.86796537	4.86796537
279	-4.89032006	4.72727273
280	-4.83213394	4.54545455
281	0.18181818	-4.85166380
282	0.36363636	-4.84226030
283	-0.04219851	-4.76467516
284	0.04569692	-4.87026604
285	0.90909091	-4.67768652
286	4.67768652	-0.18181818
287	1.63636364	-4.80038165
288	1.81818182	-4.85166380
289	2.00000000	-4.84226030
290	4.67768652	-2.18181818
291	3.09090909	-4.85166380
292	3.27272727	-4.84226030
293	2.86689240	-4.76467516
294	2.95478783	-4.87026604
295	4.67768652	-3.27272727
296	4.00000000	-4.85166380
297	4.18181818	-4.84226030
298	3.77598331	-4.76467516
299	3.86387874	-4.87026604
300	4.67768652	-4.18181818
301	4.54545455	-4.81818182
302	4.72727273	-4.87878788
303	4.86796537	-4.86796537
304	4.89032006	-4.72727273
305	4.83213394	-4.54545455
306	0.90909091	4.67768652
307	0.36363636	4.80038165
308	0.18181818	4.85166380
309	0.00000000	4.84226030
310	-0.54545455	4.67768652
311	4.67768652	1.63636364
312	2.36363636	4.67768652
313	2.00000000	4.80038165
314	1.81818182	4.85166380
315	1.63636364	4.84226030
316	4.67768652	3.09090909
317	3.45454545	4.67768652
318	3.27272727	4.80038165
319	3.09090909	4.85166380
320	2.90909091	4.84226030
321	4.67768652	4.00000000
322	4.36363636	4.67768652
323	4.18181818	4.80038165
324	4.00000000	4.85166380
325	3.81818182	4.84226030
326	4.81818182	4.54545455
327	4.87878788	4.72727273
328	4.86796537	4.86796537
329	4.72727273	4.89032006
330	4.54545455	4.83213394
331	-4.84090909	-4.36363636
332	-4.36363636	-4.84221825
333	-4.46493756	-4.48246878
334	-4.83808885	-3.45454545
335	-4.92089149	-3.63636364
336	-4.84254059	-4.18181818
337	-4.00000000	-4.85166380
338	-3.81818182	-4.84226030
339	-4.17968130	-4.76467516
340	-4.12361417	-4.87793111
341	-4.83808885	-2.18181818
342	-4.92089149	-2.36363636
343	-4.84254059	-2.90909091
344	-3.27272727	-4.67768652
345	-3.09090909	-4.80038165
346	-2.90909091	-4.85166380
347	-2.72727273	-4.84226030
348	-2.18181818	-4.67768652
349	-1.63636364	-4.80038165
350	-1.45454545	-4.85166380
351	-1.27272727	-4.84226030
352	-0.72727273	-4.67768652
353	-4.83808885	-0.36363636
354	-4.92089149	-0.54545455
355	-4.84254059	-1.09090909
356	-4.85166380	-1.45454545
357	-4.84226030	-1.63636364
358	-4.76467516	-1.27479527
359	-4.87792095	-1.33091470
360	-1.45454545	4.85166380
361	-1.63636364	4.84226030
362	-1.23052876	4.76467516
363	-1.31842419	4.87026604
364	-4.67768652	2.00000000
365	-4.85166380	1.63636364
366	-4.84226030	1.45454545
367	-4.76467516	1.81818182
368	-4.87761289	1.76049706
369	-4.87232739	1.88954846
370	-4.84254059	0.54545455
371	-4.53116837	1.09090909
372	-4.85166380	0.18181818
373	-4.84226030	0.00000000
374	-4.76467516	0.36156837
375	-4.87792095	0.30544893
376	-2.72727273	4.85166380
377	-2.90909091	4.84226030
378	-2.50325603	4.76467516
379	-2.59115147	4.87026604
380	-4.80038165	3.27272727
381	-4.85166380	3.09090909
382	-4.84226030	2.90909091
383	-4.92089149	2.72727273
384	-4.84254059	2.18181818
385	-3.63636364	4.85166380
386	-3.81818182	4.84226030
387	-3.41234694	4.76467516
388	-3.50024238	4.87026604
389	-4.85166380	4.18181818
390	-4.76467516	4.35948890
391	-4.87822485	4.30495307
392	-4.92089149	4.00000000
393	-4.84254059	3.45454545
394	-4.36363636	4.84090909
395	0.54545455	-4.84254059
396	-0.36363636	-4.68036606
397	-0.18181818	-4.85847867
398	-0.19419174	-4.68925293
399	-0.35126280	-4.84959180
400	-0.01146509	-4.51187834
401	-0.54618960	-4.77877935
402	-0.26569605	-4.43278366
403	-0.07149238	-4.63284720
404	0.06084973	-4.62314030
405	-0.15255390	-4.51724494
406	0.21427881	-4.44428740
407	-0.08960378	-4.31490679
408	-0.28019116	-4.57021273
409	-0.51656744	-4.47580236
410	-0.41198035	-4.55706064
411	-0.54906209	-4.62556193
412	-0.67683169	-4.51943352
413	-0.67404557	-4.21351363
414	-0.98259112	-4.50914198
415	-0.63229601	-4.36686649
416	-0.83116278	-4.55740775
417	-0.42415858	-4.26169100
418	-0.78694787	-4.40450592
419	-0.97756733	-4.75505788
420	-0.55403751	-4.26320151
421	-0.49177576	-4.03220673
422	-0.93810280	-4.63124240
423	-1.13917609	-4.63535010
424	-0.84886148	-4.72788402
425	-0.88610521	-4.86987053
426	-0.72727273	-4.86975674
427	0.90909091	-4.85166380
428	1.09090909	-4.84226030
429	0.72934072	-4.76467516
430	0.78546016	-4.87792095
431	4.67768652	-1.09090909
432	4.67768652	-0.54545455
433	4.85166380	-0.18181818
434	4.84226030	-0.00000000
435	4.76467516	-0.36363636
436	4.87761289	-0.30595160
437	4.87232739	-0.43500301
438	4.67768652	0.54545455
439	1.45454545	-4.83808885
440	1.63636364	-4.92089149
441	2.18181818	-4.84254059
442	4.67768652	-2.72727273
443	4.80038165	-2.36363636
444	4.85166380	-2.18181818
445	4.84226030	-2.00000000
446	3.45454545	-4.84254059
447	2.54545455	-4.68036606
448	2.72727273	-4.85847867
449	2.71489917	-4.68925293
450	2.55782811	-4.84959180
451	2.89762582	-4.51187834
452	2.37109619	-4.77818015
453	2.83759853	-4.63284720
454	2.96994064	-4.62314030
455	2.69642908	-4.48741812
456	3.12336972	-4.44428740
457	2.63489698	-4.59481149
458	2.47528421	-4.43203538
459	2.51190926	-4.55576560
460	2.27425719	-4.55882660
461	2.41331313	-4.64912573
462	4.67768652	-3.63636364
463	4.80038165	-3.45454545
464	4.85166380	-3.27272727
465	4.84226030	-3.09090909
466	4.36363636	-4.84254059
467	3.63636364	-4.85847867
468	3.56702298	-4.60446157
469	3.64450253	-4.71978421
470	3.77683528	-4.54718778
471	4.85166380	-4.18181818
472	4.84226030	-4.00000000
473	4.76467516	-4.35948890
474	4.87822485	-4.30495307
475	1.27272727	4.67768652
476	0.90909091	4.85166380
477	0.72727273	4.84226030
478	1.09090909	4.76467516
479	1.03322433	4.87761289
480	1.16227574	4.87232739
481	0.36363636	4.92089149
482	0.49594422	4.86063657
483	0.53660563	4.59596379
484	0.47894921	4.72256587
485	0.33943862	4.64017657
486	0.63462484	4.71703298
487	0.19413360	4.37951398
488	0.74724130	4.52564381
489	0.77380577	4.71094754
490	0.23002594	4.53033704
491	-0.05528791	4.51855273
492	0.41691723	4.40617902
493	0.08903091	4.48420825
494	-0.04401179	4.24554303
495	0.05616753	4.34611317
496	0.18436099	4.11823780
497	0.15240059	4.25025408
498	0.34440538	4.22686050
499	0.35481824	4.51544320
500	-0.18181818	4.84254059
501	-0.54545455	4.85166380
502	-0.72727273	4.84226030
503	-0.36570436	4.76467516
504	-0.42182379	4.87792095
505	4.80038165	1.45454545
506	4.85166380	1.63636364
507	4.84226030	1.81818182
508	4.67768652	2.36363636
509	2.54545455	4.80038165
510	2.36363636	4.85166380
511	2.18181818	4.84226030
512	2.00000000	4.92089149
513	1.45454545	4.84254059
514	4.80038165	2.90909091
515	4.85166380	3.09090909
516	4.84226030	3.27272727
517	3.45454545	4.85166380
518	3.63423573	4.76467516
519	3.57816178	4.87792979
520	3.27272727	4.92089149
521	2.72727273	4.84254059
522	4.80038165	3.81818182
523	4.85166380	4.00000000
524	4.84226030	4.18181818
525	4.36363636	4.85166380
526	4.18181818	4.92089149
527	4.56840141	4.53420070
528	-4.65602155	-4.43285497
529	-4.55866854	-4.64498832
530	-4.84247963	-3.27272727
531	-4.49692177	-3.47861009
532	-4.55862060	-4.09134656
533	-3.63636364	-4.84254059
534	-4.19795151	-4.49787007
535	-4.24656718	-4.87984693
536	-4.84247963	-2.00000000
537	-4.49692177	-2.20588282
538	-4.84254084	-3.09090909
539	-4.55862060	-2.81861929
540	-3.27272727	-4.85166380
541	-3.45247746	-4.76467516
542	-3.39635802	-4.87792095
543	-3.09090909	-4.92089149
544	-2.54545455	-4.84254059
545	-2.18181818	-4.85166380
546	-2.00000000	-4.84226030
547	-2.36156837	-4.76467516
548	-2.30544893	-4.87792095
549	-1.63636364	-4.92089149
550	-1.76867149	-4.86063657
551	-1.80933291	-4.59596379
552	-1.75167648	-4.72256587
553	-1.61216590	-4.64017657
554	-1.90735211	-4.71703298
555	-1.46686088	-4.37951398
556	-2.01996857	-4.52564381
557	-2.04653304	-4.71094754
558	-1.50275321	-4.53033704
559	-1.31126115	-4.54924804
560	-1.68964451	-4.40617902
561	-1.62754552	-4.51544320
562	-4.49692177	-0.38770100
563	-4.55862060	-1.00043747
564	-4.87990431	-1.20801173
565	-1.81818182	4.84254059
566	-1.09090909	4.85847867
567	-0.99443118	4.56406975
568	-0.90946926	4.84188643
569	-1.08418942	4.69766833
570	-1.25965993	4.50775216
571	-0.93822764	4.69878145
572	-0.74974526	4.54106376
573	-0.86851089	4.59061439
574	-0.88879362	4.37489239
575	-0.75608589	4.69297345
576	-1.13373775	4.56742794
577	-1.10731065	4.34897155
578	-4.86347202	1.30904617
579	-4.53116837	1.81818182
580	-4.55862060	0.63592616
581	-4.64792177	1.14676829
582	-4.53116837	1.24085399
583	-4.56140824	1.45454545
584	-4.26535743	1.16588154
585	-4.40883596	1.16588154
586	-4.33709669	0.91153369
587	-4.33709669	1.38845180
588	-4.33709669	1.04882471
589	-4.09371759	0.98017920
590	-4.20572634	1.04882471
591	-4.02803241	1.21306258
592	-4.84254059	-0.18181818
593	-4.87990431	0.42835191
594	-3.09090909	4.84254059
595	-2.18181818	4.68036606
596	-2.36363636	4.85847867
597	-2.35126280	4.68925293
598	-2.19419174	4.84959180
599	-2.53398946	4.51187834
600	-2.00745983	4.77818015
601	-2.47396217	4.63284720
602	-2.60630428	4.62314030
603	-2.33279271	4.48741812
604	-2.75973336	4.44428740
605	-2.27126062	4.59481149
606	-2.07487475	4.47903201
607	-2.20378173	4.48482440
608	-2.27288518	4.25742038
609	-2.14557386	4.34293464
610	-2.05763632	4.07448967
611	-1.86896121	4.28565330
612	-2.13946278	4.19631069
613	-2.31450460	3.99034444
614	-1.99280041	4.20643126
615	-2.19793712	4.06864213
616	-1.79132233	4.02552428
617	-2.11742064	3.82285130
618	-1.86614250	4.14484391
619	-2.12301601	3.95710162
620	-1.61793565	4.22024541
621	-1.93783328	3.89757801
622	-1.75267264	4.21754825
623	-1.69008547	4.45774833
624	-1.99918939	4.35330351
625	-1.86226913	4.45770687
626	-1.77622186	4.64279135
627	-4.92089149	3.27272727
628	-4.61229435	2.86632745
629	-4.86349948	2.03630149
630	-4.56006562	2.27229203
631	-4.00000000	4.84254059
632	-3.27272727	4.85847867
633	-3.20338662	4.60446157
634	-3.28086616	4.71978421
635	-3.41319891	4.54718778
636	-4.50967499	4.51934997
637	-4.87792080	4.42956208
638	-4.49914764	3.43837252
639	-0.54545455	-4.90806768
640	0.45494846	-4.58097817
641	-1.10908764	-4.85301731
642	-1.18465671	-4.75255014
643	-1.31808353	-4.70964745
644	-0.66212602	-4.77372163
645	1.27272727	-4.84254059
646	0.66255718	-4.87990431
647	4.85166380	-1.09090909
648	4.84226030	-0.90909091
649	4.76467516	-1.31492578
650	4.87026604	-1.22703035
651	4.84254059	0.18181818
652	4.53116837	-0.36363636
653	4.85166380	0.54545455
654	4.84226030	0.72727273
655	4.76467516	0.36570436
656	4.87792095	0.42182379
657	1.47861009	-4.49692177
658	4.85166380	-2.72727273
659	4.84226030	-2.54545455
660	4.76467516	-2.90696300
661	4.87792979	-2.85088906
662	4.92089149	-2.36363636
663	4.84254059	-1.81818182
664	2.29991009	-4.87933316
665	2.43954707	-4.87903559
666	2.84038866	-4.14298190
667	2.24054986	-4.70476028
668	2.03644670	-4.58075748
669	2.09109399	-4.72245960
670	2.15897307	-4.60905826
671	2.14055984	-4.40939182
672	1.95575488	-4.69326461
673	4.85166380	-3.63636364
674	4.76467516	-3.81605391
675	4.87792979	-3.75997996
676	4.92089149	-3.45454545
677	4.27316475	-4.55862060
678	3.36392662	-4.65412000
679	4.59118728	-4.52763951
680	4.87792080	-4.42956208
681	1.09090909	4.53116837
682	0.61404087	4.88206849
683	0.67986553	4.19552918
684	0.31130412	4.34456605
685	-0.09114210	4.69125173
686	0.04257854	4.62894223
687	-0.23357407	4.70870220
688	-0.37592997	4.55659601
689	-0.29892082	4.87990431
690	4.83808885	1.27272727
691	4.92089149	1.45454545
692	4.84254059	2.00000000
693	4.85166380	2.36363636
694	4.84226030	2.54545455
695	4.76467516	2.18388618
696	4.87792095	2.24000561
697	2.54545455	4.92089149
698	2.13905472	4.61229435
699	1.30902876	4.86349948
700	1.54501930	4.56006562
701	4.92089149	2.90909091
702	4.86063657	2.77678306
703	4.59596379	2.73612164
704	4.72256587	2.79377806
705	4.64017657	2.93328865
706	4.71703298	2.63810244
707	4.37951398	3.07859367
708	4.52564381	2.52548597
709	4.71094754	2.49892150
710	4.53033704	3.04270133
711	4.51855273	3.32801518
712	4.40617902	2.85581004
713	4.48420825	3.18369636
714	4.24554303	3.31673906
715	4.34611317	3.21655974
716	4.11823780	3.08836628
717	4.25025408	3.12032668
718	4.22686050	2.92832189
719	4.51544320	2.91790903
720	4.84254059	3.45454545
721	3.69859745	4.40263956
722	3.79685382	4.63597586
723	3.70110825	4.87985443
724	2.71109979	4.49914764
725	4.92089149	3.81818182
726	4.86063657	3.68587396
727	4.59596379	3.64521255
728	4.72256587	3.70286897
729	4.64017657	3.84237956
730	4.71708580	3.54707736
731	4.37951398	3.98768458
732	4.56604364	3.48446982
733	4.53033704	3.95179224
734	4.29605120	3.61788136
735	4.69079044	3.36116853
736	4.51855273	4.23710609
737	4.46643355	3.77779909
738	4.38328240	3.45451083
739	4.62695677	3.22881620
740	4.48420825	4.09278727
741	4.24554303	4.22582997
742	4.34611317	4.12565065
743	4.11823780	3.99745719
744	4.25025408	4.02941759
745	4.23131955	3.81899415
746	4.84254059	4.36363636
747	4.69078807	4.59539404
748	4.58748814	4.69495843
749	4.69552611	4.43293463
750	4.48020237	4.62618450
751	4.33062050	4.44529615
752	4.44435586	4.50353604
753	4.44586650	4.36041038
754	4.37271026	4.25292240
755	4.58204390	4.35760921
756	4.68343755	4.22720871
757	4.73646330	4.11218940
758	4.60875458	4.12304614
759	-4.70100072	-4.27146452
760	-4.52174242	-4.30846864
761	-4.70531674	-4.12171930
762	-4.65964704	-3.97285020
763	-4.41410902	-3.86582610
764	-4.55313489	-3.88204114
765	-4.50589210	-3.68299201
766	-4.44867101	-4.73126092
767	-4.30982162	-4.71291333
768	-4.20235469	-4.63219969
769	-4.39500573	-4.60282433
770	-4.08183886	-4.56891310
771	-3.84809415	-4.47822208
772	-4.03051592	-4.35462222
773	-4.57809253	-4.52549697
774	-4.68310581	-4.60389188
775	-4.65993701	-3.35928111
776	-4.84254065	-1.81818172
777	-4.65993701	-2.08655383
778	-4.71507192	-2.81837811
779	-4.68183305	-3.00000022
780	-4.63664832	-2.69009834
781	-4.36980226	-2.61603720
782	-4.52354232	-2.57986445
783	-4.47286278	-2.70926468
784	-4.32188613	-2.91596694
785	-4.33011523	-2.76348924
786	-4.40026245	-2.40070143
787	-4.43125420	-2.84540854
788	-4.52482599	-2.97411575
789	-4.05569979	-2.82514016
790	-4.56813934	-2.41718260
791	-4.57256782	-3.17364881
792	-4.20160188	-2.83301438
793	-4.11469201	-3.08772144
794	-4.14037349	-2.61186730
795	-4.12222666	-2.94811137
796	-3.87096919	-3.00455955
797	-3.98863727	-2.94090165
798	-3.81695533	-2.76413756
799	-4.49243732	-2.32504594
800	-4.36230936	-2.26048291
801	-4.65168324	-2.27137288
802	-4.17330456	-2.38688669
803	-4.33282467	-1.99455220
804	-4.38507013	-2.12335945
805	-4.15545954	-2.15569771
806	-4.50823568	-1.99840306
807	-4.69168006	-2.42258986
808	-4.25417855	-2.66398378
809	-4.25419763	-2.51362766
810	-4.42735669	-1.68552230
811	-4.66897355	-1.89639349
812	-4.42367190	-1.85336871
813	-4.12796890	-1.76291338
